07:20:25:140 [ALWAYS]	GUDE Logging Started
07:20:25:141 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
07:20:25:141 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
07:20:25:141 [ERROR]	Initialize resume cache pointer failure
07:20:25:141 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
07:20:25:141 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
07:20:30:051 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
07:20:30:052 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
07:20:30:052 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
07:20:30:052 [ERROR]	Initialize resume cache pointer failure
07:20:30:052 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
07:20:30:052 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
